election_year,smd_id,external_id,candidate_name,votes,vote_share,ranking,winner,write_in_winner,margin_of_victory,margin_of_victory_percentage,num_candidates,total_votes
2020,smd_1A01,27ae7769fad39abe67fcdb28ddcc7f718e57ae2176f6d2e58d622c1f,Layla Bonnot,501,0.9653179190751445,1.0,True,False,483.0,0.930635838150289,2,519
2020,smd_1A01,,Write-in,18,0.03468208092485549,2.0,False,False,-483,-0.930635838150289,2,519
2020,smd_1A02,00681768ab6b3c0294baded9ca734dd47c8c42942abb25612563b0ac,Dieter Lehmann Morales,761,0.9548306148055207,1.0,True,False,725.0,0.9096612296110413,2,797
2020,smd_1A02,,Write-in,36,0.0451693851944793,2.0,False,False,-725,-0.9096612296110413,2,797
2020,smd_1A03,0ba9b89c6f6f33d5d16a207a12c91db5ee92374588c93c1b86043a8a,Zach Rybarczyk,598,0.9707792207792207,1.0,True,False,580.0,0.9415584415584415,2,616
2020,smd_1A03,,Write-in,18,0.02922077922077922,2.0,False,False,-580,-0.9415584415584415,2,616
2020,smd_1A04,521636d18a7bb63fb6be5d10311f85a8d5ad2694aed76c3032befdaa,Chris Hall,670,0.950354609929078,1.0,True,False,635.0,0.9007092198581561,2,705
2020,smd_1A04,,Write-in,35,0.04964539007092199,2.0,False,False,-635,-0.9007092198581561,2,705
2020,smd_1A05,b53fefbac42b6d91e8ab651355abcf0424c0fa11c29fe274378fa206,Christine Miller,605,0.9587955625990491,1.0,True,False,579.0,0.9175911251980982,2,631
2020,smd_1A05,,Write-in,26,0.04120443740095087,2.0,False,False,-579,-0.9175911251980982,2,631
2020,smd_1A06,9a5c761d893debe2faa2f91088f00035cc1668c52197a8b592355ab2,Judson Wood,790,0.9693251533742331,1.0,True,False,765.0,0.9386503067484662,2,815
2020,smd_1A06,,Write-in,25,0.03067484662576687,2.0,False,False,-765,-0.9386503067484662,2,815
2020,smd_1A07,e3b9baa1be0dfb4a0dba177669998634fe8183e391cc6d4f66364537,Mukta Ghorpadey,804,0.9571428571428572,1.0,True,False,768.0,0.9142857142857144,2,840
2020,smd_1A07,,Write-in,36,0.04285714285714286,2.0,False,False,-768,-0.9142857142857144,2,840
2020,smd_1A08,663e329794076f1c443d5740f503e4716749a83a9b249106821f7ef1,Kent C. Boese,1087,0.9696699375557538,1.0,True,False,1053.0,0.9393398751115076,2,1121
2020,smd_1A08,,Write-in,34,0.030330062444246207,2.0,False,False,-1053,-0.9393398751115076,2,1121
2020,smd_1A09,5ae75fc094724eb2f4ecf35d4a0d5001bb699d3e41a6342d3acf7469,Michael Wray,908,0.966986155484558,1.0,True,False,877.0,0.933972310969116,2,939
2020,smd_1A09,,Write-in,31,0.03301384451544196,2.0,False,False,-877,-0.933972310969116,2,939
2020,smd_1A10,5651b692d304e435d5de1cb3285340a2ce147ce85c433e1ee94b6c60,Rashida E. Brown,894,0.9571734475374732,1.0,True,False,854.0,0.9143468950749465,2,934
2020,smd_1A10,,Write-in,40,0.042826552462526764,2.0,False,False,-854,-0.9143468950749465,2,934
2020,smd_1A11,6ffa2187e2430733aa3a10c9e96a54f860fdad17153290cb6c4cdb0f,Dotti Love Wade,575,0.9472817133443163,1.0,True,False,543.0,0.8945634266886326,2,607
2020,smd_1A11,,Write-in,32,0.05271828665568369,2.0,False,False,-543,-0.8945634266886326,2,607
2020,smd_1A12,,Write-in,144,1.0,1.0,True,True,0,0.0,1,144
2020,smd_1B01,f0a9f4eac4a2294b7c9e82541e80585fc675b67257641589d22518b3,Larry Handerhan,880,0.9575625680087051,1.0,True,False,841.0,0.9151251360174102,2,919
