person_id,full_name,smd_id
10005,Christine Miller,smd_1A05
10035,Chelsea A. Allinger,smd_1D05
10041,Jeri Epstein,smd_2A06
10059,Rick Murphy,smd_2E03
10061,Lisa Palmer,smd_2E05
10066,John Guggenmos,smd_2F02
10068,John Fanning,smd_2F04
10106,Monika Nemeth,smd_3F06
10139,Jonah Goodman,smd_4C10
10182,Phil Toomajian,smd_6A02
10183,Michael Soderman,smd_6A03
10187,Sondra Phillips-Gilbert,smd_6A07
10191,Brian Ready,smd_6B03
10194,Corey Holman,smd_6B06
10197,Kathryn Denise Rucker Krepp,smd_6B10
10311,Matthew Holden,smd_2B08
10318,Brian Romanowski,smd_2F01
10355,Alan Wehler,smd_4C09
10472,Michelle Yan,smd_2F03
10482,Zachary Israel,smd_4D04
10500,Eric Behna,smd_1B08
10512,Patrick K. Parlej,smd_6E05
10520,Sherene Joseph,smd_2F05
10525,Brenda Dawson Parks,smd_4B04
10557,Erik Lindsjö,smd_4D01
10564,Peter Wright,smd_6B08
10606,Donna Barbisch,smd_2A04
10626,Joel Castόn,smd_7F07
11347,Maxime Devilliers,smd_2F06
